Adapaleno                 |Biosintetica  | Differin   | 1 mg/g                  | Gel                                           | C2 - Venda Sob Prescricao Medicas    | Lista C2 -  substancias Retinoicas                                               | NAO CONSTA
Midazolam                 |Eurofarma     | Dormonid   | 1 mg/ml; 5 mg/ml        | Solucao injetavel                             | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Midazolam                 |Hipolabor     | Dormonid   | 1 mg/ml; 5 mg/ml        | Solucao injetavel                             | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Midazolam                 |Uniao Quimica | Dormonid   | 5 mg/ml                 | Solucao injetavel                             | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Mirtazapina               |Sandoz        | Remeron    | 30 mg; 45 mg            | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Nitrazepam                |EMS           | Sonebon    | 5 mg                    | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Nitrazepam                |Nature's Plus | Sonebon    | 5 mg                    | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Nitrazepam                |Sigma Pharma  | Sonebon    | 5 mg                    | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Oxcarbazepina             |Medley        | Trileptal  | 300 mg; 600 mg          | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Oxcarbazepina             |Novartis      | Trileptal  | 300 mg; 600 mg          | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Oxcarbazepina             |Novartis      | Trileptal  | 60 mg/ml                | Suspensao oral                                | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Paracetamol + Fosfato de c|Arrow         | Tylex      | 500mg/ml + 30mg/ml      | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Propofol                  |Eurofarma     | Diprivan   | 10 mg/ml                | Emulsao injetavel                             | C1 - Uso Restrito a Hospital         | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Risperidona               |Arrow         | Risperdal  | 1mg; 2 mg; 3 mg         | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Risperidona               |EMS           | Risperdal  | 1mg/ml                  | Solucao  oral                                 | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Risperidona               |Eurofarma     | Risperdal  | 1mg; 2 mg; 3 mg         | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Risperidona               |Legrand       | Risperdal  | 1mg/ml                  | Solucao  oral                                 | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Risperidona               |Merck         | Risperdal  | 1mg; 2 mg; 3 mg         | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Risperidona               |Nature's Plus | Risperdal  | 1mg/ml                  | Solucao  oral                                 | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Risperidona               |Sandoz        | Risperdal  | 1mg; 2mg; 3mg           | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Risperidona               |Sigma Pharma  | Risperdal  | 1mg/ml                  | Solucao  oral                                 | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Sevoflurano               |Biochimico    | Sevorane   | 1 mg/ml                 | Solucao  p/ inalacao                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Sulfato de Morfina        |EMS           | Dimorf     | 0,2 mg/ml; 1 mg/ml; 10 m| Solucao injetavel                             | A1 - Uso Restrito a Hospital         | Lista A1 - Substancias Entorpecentes                                             | NAO CONSTA
Sulfato de Morfina        |EMS           | Dimorf     | 10 mg/ml                | Solucao  oral                                 | A1 - Notificacao de Receita A        | Lista A1 - Substancias Entorpecentes                                             | NAO CONSTA
Sulfato de Morfina        |Hipolabor     | Dimorf     | 10 mg/ml                | Solucao injetavel                             | A1 - Uso Restrito a Hospital         | Lista A1 - Substancias Entorpecentes                                             | NAO CONSTA
Sulfato de Morfina        |Legrand       | Dimorf     | 10 mg/ml                | Solucao  oral                                 | A1 - Notificacao de Receita A        | Lista A1 - Substancias Entorpecentes                                             | NAO CONSTA
Sulfato de Morfina        |Nature's Plus | Dimorf     | 0,2 mg/ml; 1 mg/ml; 10 m| Solucao injetavel                             | A1 - Uso Restrito a Hospital         | Lista A1 - Substancias Entorpecentes                                             | NAO CONSTA
Sulfato de Morfina        |Nature's Plus | Dimorf     | 10 mg/ml                | Solucao  oral                                 | A1 - Notificacao de Receita A        | Lista A1 - Substancias Entorpecentes                                             | NAO CONSTA
Sulfato de Morfina        |Sigma Pharma  | Dimorf     | 0,2 mg/ml; 1 mg/ml; 10 m| Solucao injetavel                             | A1 - Uso Restrito a Hospital         | Lista A1 - Substancias Entorpecentes                                             | NAO CONSTA
Sulfato de Morfina        |Sigma Pharma  | Dimorf     | 10 mg/ml                | Solucao  oral                                 | A1- Notificacao de Receita A         | Lista A1 - Substancias Entorpecentes                                             | NAO CONSTA
Tartarato de Zolpidem     |Sandoz        | Stilnox    | 10 mg                   | Comprimido revestido                          | B1 - Receita de Controle Especial    | Lista B1 -  Substancias Psicotropicas                                            | NAO CONSTA
Topiramato                |EMS           | Topamax    | 25 mg; 50 mg; 100 mg    | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras Substancias sujeitas a Controle Especial                      | NAO CONSTA
Topiramato                |Eurofarma     | Topamax    | 25 mg; 50 mg; 100 mg    | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras Substancias sujeitas a Controle Especial                      | NAO CONSTA
Topiramato                |Nature's Plus | Topamax    | 25 mg; 50 mg; 100 mg    | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras Substancias sujeitas a Controle Especial                      | NAO CONSTA
Topiramato                |Sandoz        | Topamax    | 25 mg; 50 mg; 100 mg    | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras Substancias sujeitas a Controle Especial                      | NAO CONSTA
Topiramato                |Sigma Pharma  | Topamax    | 25 mg; 50 mg; 100 mg    | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras Substancias sujeitas a Controle Especial                      | NAO CONSTA
Valproato de Sodio        |Biolab Sanus  | Depakene   | 250 mg                  | Capsula gelatinosa mole                       | C1 - Receita de Controle Especial    | Lista C1 -  Outras Substancias sujeitas a Controle Especial                      | NAO CONSTA
Valproato de Sodio        |Biolab Sanus  | Depakene   | 50 mg/ml                | Xarope                                        | C1 - Receita de Controle Especial    | Lista C1 -  Outras Substancias sujeitas a Controle Especial                      | NAO CONSTA
Valproato de Sodio        |EMS           | Depakene   | 50 mg/ml                | Xarope                                        | C1 - Receita de Controle Especial    | Lista C1 -  Outras Substancias sujeitas a Controle Especial                      | NAO CONSTA
Valproato de Sodio        |Hipolabor     | Depakene   | 50 mg/ml                | Xarope                                        | C1 - Receita de Controle Especial    | Lista C1 -  Outras Substancias sujeitas a Controle Especial                      | NAO CONSTA
Valproato de Sodio        |Sigma Pharma  | Depakene   | 50 mg/ml                | Xarope                                        | C1 - Receita de Controle Especial    | Lista C1 -  Outras Substancias sujeitas a Controle Especial                      | NAO CONSTA
Valproato de Sodio        |Teuto         | Depakene   | 50 mg/ml                | Xarope                                        | C1 - Receita de Controle Especial    | Lista C1 -  Outras Substancias sujeitas a Controle Especial                      | NAO CONSTA
Zopiclona                 |Arrow         | Imovane    | 7,5 mg                  | Comprimido revestido                          | B1 - Receita de Controle Especial    | Lista B1 -  Substancias Psicotropicas                                            | NAO CONSTA
Zopiclona                 |Sanofi-Aventis| Imovane    | 7,5 mg                  | Comprimido revestido                          | B1 - Receita de Controle Especial    | Lista B1 -  Substancias Psicotropicas                                            | NAO CONSTA
